Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:01:31.400000,8,Female,2,TChips,"0.00,;6.40,Start Shop;7.00,Buy;7.40,Stop Shop","0.00,;7.00,1",Grab & Go,Caucasian,Millenial (18-34)
2015-12-19T12:06:22.200000,16,Male,12,TChips,"0.00,;9.60,Start Shop;15.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:30:56.200000,19,Female,45,TChips,"0.00,;13.00,Start Shop;14.60,Buy;15.40,Stop Shop","0.00,;14.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:30:56.200000,19,Female,46,TChips,"0.00,;10.20,Start Shop;16.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:37:05.200000,58.4,Female,53,TChips,"0.00,;24.80,Start Shop;41.40,Buy;42.20,Stop Shop","0.00,;41.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:37:07.800000,56.4,Male,54,TChips,"0.00,;47.00,Start Shop;54.00,Stop Shop",,Visual,Caucasian,Senior (>54)
2015-12-19T12:41:18.600000,41,Female,56,TChips,"0.00,;16.20,Start Shop;23.60,Buy;39.40,Stop Shop","0.00,;23.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:47:10.200000,37,Female,60,TChips,"0.00,;23.40,Start Shop;30.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:47:14.600000,56.4,Female,61,TChips,"0.00,;29.00,Start Shop;48.60,Buy;49.40,Stop Shop","0.00,;48.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:47:27.200000,23.2,Male,62,TChips,"0.00,;16.00,Start Shop;21.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:47:28.200000,21,Female,63,TChips,"0.00,;19.00,Start Shop;21.00,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:47:38.400000,43,Female,65,TChips,"0.00,;39.00,Start Shop;42.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:47:41,42.6,Male,66,TChips,"0.00,;39.00,Start Shop;42.00,Stop Shop",,Visual,Caucasian,Child (<18)
2015-12-19T12:48:21.400000,15,Female,67,TChips,"0.00,;7.60,Start Shop;10.80,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:49:36.800000,55.4,Male,70,TChips,"0.00,;41.00,Start Shop;43.20,Buy;44.40,Stop Shop","0.00,;43.20,1",Grab & Go,Caucasian,Adult (35-54)
2015-12-19T17:00:21,115.8,Male,135,TChips,"0.00,;16.00,Start Shop;25.60,Stop Shop;44.80,Start Shop;64.60,Buy;110.60,Stop Shop","0.00,;64.60,1",Label Reading,Caucasian,Senior (>54)
2015-12-19T17:00:21,116,Female,136,TChips,"0.00,;59.00,Start Shop;64.60,Buy;66.00,Stop Shop;77.60,Start Shop;102.40,Stop Shop;112.60,Start Shop;115.40,Stop Shop","0.00,;64.60,1",Visual,Caucasian,Senior (>54)
2015-12-19T17:07:37.200000,33,Female,147,TChips,"0.00,;14.20,Start Shop;23.00,Stop Shop;27.60,Start Shop;32.60,Stop Shop",,Visual,Hispanic,Millenial (18-34)
2015-12-19T17:07:40.200000,33.6,Male,148,TChips,"0.00,;8.20,Start Shop;32.40,Stop Shop",,Visual,Hispanic,Millenial (18-34)
2015-12-19T17:14:12.800000,35.6,Female,156,TChips,"0.00,;23.00,Start Shop;28.20,Buy;32.00,Stop Shop","0.00,;28.20,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:17:28.800000,37.6,Female,160,TChips,"0.00,;28.00,Start Shop;36.00,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:18:08.200000,20,Male,164,TChips,"0.00,;10.20,Start Shop;10.80,Buy;11.80,Stop Shop","0.00,;10.80,1",Grab & Go,Caucasian,Adult (35-54)
2015-12-19T17:20:28.800000,181.4,Female,168,TChips,"0.00,;5.40,Start Shop;11.00,Stop Shop",,Visual,Hispanic,Adult (35-54)
2015-12-19T17:32:12,205,Female,180,TChips,"0.00,;51.60,Start Shop;53.80,Buy;54.40,Stop Shop;57.60,Start Shop;76.20,Stop Shop;194.60,Start Shop;203.60,Stop Shop","0.00,;53.80,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T17:32:18.600000,198,Male,182,TChips,"0.00,;22.60,Start Shop;27.20,Stop Shop;33.60,Start Shop;38.40,Stop Shop;102.40,Start Shop;141.80,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:35:37.600000,165,Female,188,TChips,"0.00,;40.80,Start Shop;41.60,Buy;42.40,Stop Shop;45.20,Start Shop;47.20,Stop Shop;55.00,Start Shop;66.60,Buy;67.20,Stop Shop","0.00,;41.60,1;66.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:38:33.800000,66.2,Male,192,TChips,"0.00,;46.00,Start Shop;64.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:40:37.600000,34.6,Male,196,TChips,"0.00,;32.00,Start Shop;33.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:46:48.200000,83.2,Female,199,TChips,"0.00,;38.00,Start Shop;44.40,Stop Shop;66.00,Start Shop;69.80,Buy;72.60,Stop Shop","0.00,;69.80,1",Label Reading,Caucasian,Millenial (18-34)
2015-12-19T17:53:22.800000,116,Male,206,TChips,"0.00,;68.00,Start Shop;80.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:57:29.400000,73.2,Male,209,TChips,"0.00,;57.20,Start Shop;71.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
